Provinsi;2020;2021;2022;2023;2024
ACEH;488;476,7;474,9;471,36;483,25
SUMATERA UTARA;1325,1;1285,8;1370,4;1352,23;1351,37
SUMATERA BARAT;393,3;430,4;439,9;440,28;444,78
RIAU;2853,8;2860,8;2868,1;3401,61;3371,42
JAMBI;1074,6;1083,9;1072;952,15;956,45
SUMATERA SELATAN;1198;1058,6;1134,2;1241,09;1285,22
BENGKULU;325,3;319,4;418,1;418,43;429,22
LAMPUNG;196,3;192,6;198,6;197,46;191,36
KEP. BANGKA BELITUNG;239,8;238,6;250,2;255,72;265,25
KEP. RIAU;7,4;7,4;7,7;7,73;7,2
PULAU SUMATERA;8101,6;7954,2;8234,1;8738,06;8785,52
INDONESIA;14858,3;14663,6;15338,6;15928,71;16013,04
;;;;;
